Malic acid,Flavanoids,Total phenols,Ash,Nonflavanoid phenols,Hue,Proline ,class
1.71,3.06,2.8,2.43,0.28,1.04,1065,1
1.78,2.76,2.65,2.14,0.26,1.05,1050,1
2.36,3.24,2.8,2.67,0.3,1.03,1185,1
1.95,3.49,3.85,2.5,0.24,0.86,1480,1
2.59,2.69,2.8,2.87,0.39,1.04,735,1
1.76,3.39,3.27,2.45,0.34,1.05,1450,1
1.87,2.52,2.5,2.45,0.3,1.02,1290,1
2.15,2.51,2.6,2.61,0.31,1.06,1295,1
1.64,2.98,2.8,2.17,0.29,1.08,1045,1
1.35,3.15,2.98,2.27,0.22,1.01,1045,1
2.16,3.32,2.95,2.3,0.22,1.25,1510,1
1.48,2.43,2.2,2.32,0.26,1.17,1280,1
1.73,2.76,2.6,2.41,0.29,1.15,1320,1
1.73,3.69,3.1,2.39,0.43,1.25,1150,1
1.87,3.64,3.3,2.38,0.29,1.2,1547,1
1.81,2.91,2.85,2.7,0.3,1.28,1310,1
1.92,3.14,2.8,2.72,0.33,1.07,1280,1
1.57,3.4,2.95,2.62,0.4,1.13,1130,1
1.59,3.93,3.3,2.48,0.32,1.23,1680,1
3.1,3.03,2.7,2.56,0.17,0.96,845,1
1.63,3.17,3.0,2.28,0.24,1.09,780,1
3.8,2.41,2.41,2.65,0.25,1.03,770,1
1.86,2.88,2.61,2.36,0.27,1.11,1035,1
1.6,2.37,2.48,2.52,0.26,1.09,1015,1
1.81,2.61,2.53,2.61,0.28,1.12,845,1
2.05,2.68,2.63,3.22,0.47,1.13,830,1
1.77,2.94,2.85,2.62,0.34,0.92,1195,1
1.72,2.19,2.4,2.14,0.27,1.02,1285,1
1.9,2.97,2.95,2.8,0.37,1.25,915,1
1.68,2.33,2.65,2.21,0.26,1.04,1035,1
1.5,3.25,3.0,2.7,0.29,1.19,1285,1
1.66,3.19,2.86,2.36,0.22,1.09,1515,1
1.83,2.69,2.42,2.36,0.42,1.23,990,1
1.53,2.74,2.95,2.7,0.5,1.25,1235,1
1.8,2.53,2.35,2.65,0.29,1.1,1095,1
1.81,2.98,2.7,2.41,0.26,1.04,920,1
1.64,2.68,2.6,2.84,0.34,1.09,880,1
1.65,2.43,2.45,2.55,0.29,1.12,1105,1
1.5,2.64,2.4,2.1,0.28,1.18,1020,1
3.99,3.04,3.0,2.51,0.2,0.89,760,1
1.71,3.29,3.15,2.31,0.34,0.95,795,1
